 0ms] inbound/mixed[mixed-in]: inbound connection to detectportal.firefox.com:80
INFO[0002] [1677866499 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:41814
INFO[0002] [1677866499 0ms] inbound/mixed[mixed-in]: inbound connection to detectportal.firefox.com:80
INFO[0002] [1677866499 1ms] outbound/shadowsocks[proxy]: outbound connection to detectportal.firefox.com:80
INFO[0003] outbound/shadowsocks[proxy]: outbound connection to cp.cloudflare.com:80
INFO[0003] [3869336209 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:41824
INFO[0003] [3869336209 0ms] inbound/mixed[mixed-in]: inbound connection to report.idqqimg.com:443
INFO[0003] [3869336209 1ms] outbound/direct[bypass]: outbound connection to report.idqqimg.com:443
INFO[0004] [2938881785 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:41830
INFO[0004] [2938881785 0ms] inbound/mixed[mixed-in]: inbound connection to stream.zotero.org:443
INFO[0004] [2938881785 1ms] outbound/shadowsocks[proxy]: outbound connection to stream.zotero.org:443
INFO[0007] outbound/shadowsocks[proxy]: outbound connection to cp.cloudflare.com:80
INFO[0008] [2223326344 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:46458
INFO[0008] [2223326344 0ms] inbound/mixed[mixed-in]: inbound connection to detectportal.firefox.com:80
INFO[0008] [2223326344 1ms] outbound/shadowsocks[proxy]: outbound connection to detectportal.firefox.com:80
INFO[0012] outbound/direct[direct]: outbound packet connection to 10.10.0.21:53
INFO[0012] outbound/direct[direct]: outbound packet connection to 10.10.0.21:53
ERROR[0013] [3869336209 9.83s] inbound/mixed[mixed-in]: process connection from 127.0.0.1:41824: lookup report.idqqimg.com: operation was canceled
2024/05/09 13:34:31 [Info] sing-box closed in 0 ms
ERROR[0013] [2938881785 9.13s] inbound/mixed[mixed-in]: process connection from 127.0.0.1:41830: lookup 724c889.h3.gladns.com: operation was canceled
INFO[0013] outbound/direct[direct]: outbound packet connection to 10.10.0.21:53
INFO[0013] outbound/direct[direct]: outbound packet connection to 10.10.0.21:53
INFO[0013] outbound/direct[direct]: outbound packet connection to 10.10.2.21:53
INFO[0013] outbound/direct[direct]: outbound packet connection to 10.10.2.21:53
INFO[0017] outbound/direct[direct]: outbound packet connection to 10.10.2.21:53
INFO[0017] outbound/direct[direct]: outbound packet connection to 10.10.2.21:53
2024/05/10 12:18:20 nekobox_core grpc server listening at 127.0.0.1:37871
INFO[0002] [3839714131 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:40962
INFO[0002] [3839714131 6ms] inbound/mixed[mixed-in]: inbound connection to d1--cn-gotcha208.bilivideo.com:443
INFO[0002] [3839714131 7ms] outbound/direct[bypass]: outbound connection to d1--cn-gotcha208.bilivideo.com:443
INFO[0002] outbound/shadowsocks[proxy]: outbound connection to cp.cloudflare.com:80
INFO[0003] [4030939064 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:50154
INFO[0003] [4030939064 7ms] inbound/mixed[mixed-in]: inbound connection to ocsp.globalsign.com:80
INFO[0003] [4030939064 8ms] outbound/shadowsocks[proxy]: outbound connection to ocsp.globalsign.com:80
INFO[0004] [437186154 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:50168
